poi_id,poi_cbg
poi_040228,360610119002
poi_010717,360470219002
poi_026647,360610117001
poi_036067,360610114022
poi_053079,360610119002
poi_038314,360610142006
poi_038315,360610118003
poi_053081,360610109001
poi_053083,360610066007
poi_002233,360610118008
poi_007163,360610036022
poi_056481,360610058001
poi_018822,360610159006
poi_018524,360610158022
poi_015348,360610113001
poi_056483,360610032007
poi_026657,360610049002
poi_022767,360610109001
poi_007168,360610319001
poi_056487,360610146026
poi_002244,360610102001
poi_050147,360610007001
poi_028729,360610096001
poi_038333,360610172004
poi_010734,360610079002
poi_000796,360610142005
poi_018534,360610058001
poi_050153,360610057002
poi_015359,360610217031
poi_050159,360610169003
poi_053101,360050209001
poi_029772,360610054001
poi_022780,360610148023
poi_007179,360050181023
poi_000806,360610041004
poi_053104,360610077001
poi_018547,360610058001
poi_016722,360610095001
poi_048711,360610200002
poi_036095,360610245005
poi_002258,360610045001
poi_029783,360610041002
poi_050368,360610179004
poi_050369,360610153002
poi_053108,360610172001
poi_050167,360610122001
poi_012464,360610058001
poi_050168,360610214001
poi_056507,360050323001
poi_029786,360930324032
poi_038352,360610210001
poi_037632,360610206002
poi_048715,360610319001
poi_020632,360610009001
poi_045380,360610039004
poi_036750,360610119002
poi_027191,360610115001
poi_046976,360610074002
poi_020639,360610136001
poi_024582,360610115001
poi_054853,360610045001
poi_046978,360610041002
poi_019163,360610108001
poi_018608,360610106012
poi_036761,360610021002
poi_019165,360610013001
poi_054860,360610104001
poi_020644,360610167003
poi_036763,360610033001
poi_036765,360610034001
poi_046869,360610245005
poi_004433,360610033001
poi_048052,360610030021
poi_055417,360610133002
poi_010985,360610073003
poi_057137,360610086033
poi_045396,360610109001
poi_024594,360610061003
poi_039325,360610210003
poi_011954,360610018005
poi_045399,360470285011
poi_011956,360610072002
poi_054867,360610122002
poi_057145,360610140002
poi_057146,360610135001
poi_009031,360610142004
poi_011960,360610094001
poi_014333,360610145003
poi_047001,360610142003
poi_009032,360610195003
poi_055427,360610063003
poi_055428,360610076001
poi_035094,360610058001
poi_054877,360610032007
poi_045407,360610047002
poi_057151,360610073006
poi_046883,360610042001
poi_014345,360610056003
poi_007153,360610148023
poi_035105,360610229001
poi_018631,360610018002
poi_056439,360610271003
poi_001267,360610265005
poi_030732,360610146013
poi_012332,360610116001
poi_001582,360610137002
poi_001272,360610137006
poi_016154,360610117001
poi_011269,360610184003
poi_044539,360610303001
poi_056445,360610038007
poi_046930,360610106022
poi_033112,360610037003
poi_046935,360610094001
poi_057087,360610071003
poi_036913,360610015013
poi_036914,360610149001
poi_001590,360610201021
poi_038970,360610057002
poi_002387,360610109001
poi_055643,360610125001
poi_049352,360610140004
poi_054316,360610049003
poi_057097,360610171001
poi_014780,360610111001
poi_001807,360610092001
poi_001597,360610151003
poi_038975,360610127001
poi_038978,360610112021
poi_046948,360610086011
poi_036929,360610052002
poi_044560,360610031001
poi_012359,360610109001
poi_001812,360610104001
poi_012361,360610111001
poi_016174,360610228004
poi_044562,360610063004
poi_036941,360610048005
poi_054332,360610104001
poi_038992,360610052001
poi_002407,360050395004
poi_054335,360610101001
poi_056468,360610142004
poi_012368,360610076002
poi_041804,360610220004
poi_038996,360610125002
poi_051678,360610068002
poi_018012,360610180003
poi_056125,360610063002
poi_037998,360610285003
poi_032205,360610101001
poi_038000,360610108006
poi_051688,360610015021
poi_018018,360610117001
poi_031800,360610269004
poi_052766,360610045001
poi_038002,360610109001
poi_015424,360610045001
poi_015426,360610146022
poi_004835,360610039004
poi_056137,360610149002
poi_031873,360610178003
poi_004837,360610034004
poi_015430,360610021001
poi_018029,360610013002
poi_046208,360610092001
poi_006138,360610015013
poi_009914,360610054001
poi_004845,360610064006
poi_015436,360610074003
poi_006142,360610110003
poi_020526,360610054001
poi_046209,360610043003
poi_015439,360610034001
poi_038013,360610054003
poi_004849,360610013001
poi_038017,360610040005
poi_020679,360610137003
poi_020681,360610038002
poi_056151,360610049002
poi_046914,360610096001
poi_020684,360610106022
poi_020531,360610102001
poi_054802,360610173001
poi_032230,360610291005
poi_006231,360610021001
poi_020533,360610095001
poi_020690,360610091001
poi_006147,360610089002
poi_031897,360610096001
poi_056161,360610137001
poi_046923,360610102001
poi_019088,360610126001
poi_004206,360610187005
poi_053812,360610009001
poi_034138,360610054002
poi_019091,360610112031
poi_055252,360610096001
poi_053813,360610091001
poi_003315,360610013001
poi_053814,360610021002
poi_004209,360610076001
poi_018490,360610149001
poi_011051,360610084001
poi_019096,360610091002
poi_015875,360610109001
poi_012549,360610096001
poi_029276,360610077001
poi_006750,360610090004
poi_053818,360610068001
poi_003326,360610158013
poi_034149,360610082001
poi_034150,360610125001
poi_001013,360610030022
poi_012561,360610057002
poi_019109,360610037002
poi_017398,360610039004
poi_004221,360610179004
poi_055268,360610169005
poi_015885,360610178002
poi_019111,360850170123
poi_016271,360610043003
poi_033584,360610006004
poi_018505,360610092001
poi_003335,360610018003
poi_049161,360610108007
poi_004224,360610138003
poi_034161,360610114012
poi_055271,360610135001
poi_013441,360610102001
poi_003517,360610084002
poi_019122,360610251001
poi_034199,360610042002
poi_023808,360610028003
poi_016278,360610058001
poi_034165,360610229003
poi_023813,360050147022
poi_004230,360610076002
poi_003524,360610114012
poi_034172,360610013001
poi_001025,360610209011
poi_019131,360610132004
poi_018514,360610126003
poi_021960,360610130001
poi_054505,360610052001
poi_018446,360610103001
poi_001895,360610094001
poi_041175,360610149002
poi_024943,360610096001
poi_054513,360610055011
poi_001902,360610081003
poi_033902,360610115001
poi_012470,360610029002
poi_021965,360610182003
poi_043729,360610054001
poi_044655,360610045001
poi_023397,360610034001
poi_035141,360610119001
poi_018456,360610255003
poi_033908,360610157007
poi_054515,360610158021
poi_035143,360610088001
poi_001914,360610114011
poi_001915,360610067003
poi_030004,360610188001
poi_033146,360610015022
poi_023403,360610113001
poi_054519,360610106022
poi_023404,360850251003
poi_043741,360610031001
poi_023405,360610109001
poi_051509,360610172003
poi_001921,360610069001
poi_024965,360610034004
poi_057541,360610133002
poi_035366,360610082002
poi_018466,360610125002
poi_035156,360610172005
poi_051018,360610128004
poi_035157,360610032002
poi_003020,360050283001
poi_030015,360610205001
poi_057550,360610157003
poi_041201,360610127002
poi_012492,360610089001
poi_045099,360610127004
poi_051023,360610138006
poi_045100,360610133003
poi_012498,360610112021
poi_051514,360610253002
poi_024975,360610146024
poi_003027,360610169001
poi_044678,360610148024
poi_012505,360610096001
poi_051028,360610102001
poi_041208,360610041005
poi_030031,360610088001
poi_012507,360610136008
poi_054544,360610084002
poi_045108,360610172001
poi_023347,360610068001
poi_015562,360610018005
poi_013487,360610075001
poi_034305,360610039002
poi_047435,360610008003
poi_031085,360610045001
poi_048181,360050374002
poi_031201,360610137004
