poi_id,naics_code,latitude,longitude
poi_000000,611691,40.7202,-74.006
poi_000001,621310,40.7466,-73.9785
poi_000002,712190,40.7344,-74.004
poi_000003,812910,40.7307,-73.9753
poi_000004,522310,40.7575,-73.9657
poi_000005,811490,40.7373,-74.0185
poi_000006,448310,40.7678,-73.9702
poi_000007,812199,40.723,-73.9992
poi_000008,522390,40.8526,-73.8456
poi_000009,812112,40.7571,-73.988
poi_000010,448120,40.7144,-74.0055
poi_000011,517312,40.7336,-73.9799
poi_000012,812112,40.733,-73.9979
poi_000013,621330,40.8001,-73.9796
poi_000014,621210,40.8044,-73.9548
poi_000015,446110,40.8104,-73.9376
poi_000016,712190,40.7896,-73.8473
poi_000017,812112,40.7737,-73.9454
poi_000018,722515,40.7698,-73.9849
poi_000019,453110,40.7703,-73.9729
poi_000020,5416,40.783,-73.9916
poi_000021,621111,40.7565,-73.9711
poi_000022,813110,40.7651,-73.9806
poi_000023,424210,40.6785,-73.8525
poi_000024,722513,40.7251,-73.9944
poi_000025,448310,40.7759,-73.9715
poi_000026,812113,40.7366,-73.9968
poi_000027,812113,40.7839,-73.9608
poi_000028,446110,40.7548,-73.9925
poi_000029,7111,40.7704,-74.0026
poi_000030,621111,40.763,-73.9661
poi_000031,453910,40.8003,-73.9816
poi_000032,448120,40.7574,-73.9734
poi_000033,722511,40.7368,-74.0057
poi_000034,522110,40.743,-73.9742
poi_000035,442210,40.7434,-73.9797
poi_000036,621399,40.715,-74.0052
poi_000037,811490,40.7233,-73.9873
poi_000038,722511,40.8048,-73.9387
poi_000039,531311,40.7729,-73.9666
poi_000040,621210,40.7682,-73.9855
poi_000041,448310,40.7707,-73.9738
poi_000042,448120,40.7605,-73.9796
poi_000043,522110,40.7624,-73.9818
poi_000044,621111,40.7449,-73.9961
poi_000045,621320,40.8659,-73.9171
poi_000046,722513,40.7275,-74.007
poi_000047,442299,40.7142,-74.0076
poi_000048,811420,40.8528,-73.928
poi_000049,722410,40.7487,-73.9646
poi_000050,621330,40.7693,-74.0023
poi_000051,624410,40.7886,-73.9386
poi_000052,722511,40.8433,-73.9351
poi_000053,448150,40.7399,-74.0048
poi_000054,722511,40.6971,-74.0041
poi_000055,448120,40.7656,-73.9806
poi_000056,722515,40.7706,-73.9467
poi_000057,532282,40.7117,-74.0169
