census_block_group,City,Year,home_cbg_income,home_cbg_population,home_cbg_edu
360050175002,New York city,2019,24091,895,Lowest
360470565002,New York city,2019,112250,1430,Highest
360050043002,New York city,2019,18109,1760,Low
360050041001,New York city,2019,17642,2092,Lowest
360050040011,New York city,2019,54868,1347,Low
360050038001,New York city,2019,33681,1459,Lowest
360050035002,New York city,2019,28710,807,Low
360050027021,New York city,2019,11209,1126,Lowest
360050033003,New York city,2019,14837,1627,Lowest
360050033002,New York city,2019,21645,1709,Lowest
360050033001,New York city,2019,0,557,Lowest
360050031001,New York city,2019,43255,1163,Low
360050028001,New York city,2019,56964,1388,Medium
360050027023,New York city,2019,0,1374,Low
360050027022,New York city,2019,43323,982,Lowest
360050079001,New York city,2019,21087,2101,Lowest
360050075003,New York city,2019,21607,1948,Lowest
360050077001,New York city,2019,38417,1920,Low
360050027012,New York city,2019,19620,1594,Low
360050025004,New York city,2019,51971,572,Lowest
360050025002,New York city,2019,18919,1177,Lowest
360050023002,New York city,2019,20721,512,Lowest
360050016001,New York city,2019,32904,1961,Medium
360050004001,New York city,2019,0,733,Lowest
360050002002,New York city,2019,48523,1581,Medium
360050002001,New York city,2019,41968,1172,Medium
360050460001,New York city,2019,31008,2359,Medium
360050043004,New York city,2019,40956,1024,Lowest
360050436001,New York city,2019,75238,918,Low
360050044002,New York city,2019,0,677,Lowest
360050046001,New York city,2019,21360,1629,Medium
360050083003,New York city,2019,30820,1472,Medium
360050083002,New York city,2019,0,651,Lowest
360050083001,New York city,2019,65562,1018,Lowest
360050121012,New York city,2019,40735,1545,Low
360050121011,New York city,2019,38068,2082,Low
360050119001,New York city,2019,39479,1611,Low
360050118003,New York city,2019,80357,1126,High
360050119003,New York city,2019,30703,823,Lowest
360050334001,New York city,2019,0,3780,Lowest
360050098004,New York city,2019,0,610,Low
360050098002,New York city,2019,88889,996,Low
360050098001,New York city,2019,100924,931,Low
360050092003,New York city,2019,52180,1753,Medium
360050092001,New York city,2019,35385,1270,Lowest
360050087005,New York city,2019,16607,1961,Lowest
360050087002,New York city,2019,29632,543,Low
360050087001,New York city,2019,22770,1670,Low
360050086001,New York city,2019,75660,1136,Lowest
360050085002,New York city,2019,31282,1883,Medium
360050289001,New York city,2019,74375,1633,Low
360050288001,New York city,2019,62762,951,Low
360050286002,New York city,2019,90875,1167,Low
360050287001,New York city,2019,77589,1370,High
360050052001,New York city,2019,21065,530,Lowest
360050048001,New York city,2019,38563,2094,Lowest
360050044004,New York city,2019,17054,761,Lowest
360050084001,New York city,2019,70208,737,Low
360050413001,New York city,2019,64471,1772,High
360050423002,New York city,2019,39682,2497,High
360050398001,New York city,2019,115952,1284,High
360050396001,New York city,2019,36912,773,Lowest
360050386005,New York city,2019,51935,817,Lowest
360050385003,New York city,2019,24050,1035,Lowest
360050373001,New York city,2019,40363,1131,Lowest
360050369012,New York city,2019,23469,690,Lowest
360050365013,New York city,2019,27303,680,Lowest
360050359001,New York city,2019,23750,1907,Lowest
360050336002,New York city,2019,38327,1100,Low
360050330002,New York city,2019,40921,1317,Medium
360050310001,New York city,2019,57833,946,Low
360050297002,New York city,2019,96020,1139,Highest
360050295003,New York city,2019,108036,907,High
360050390001,New York city,2019,42157,1665,Low
360050083004,New York city,2019,31675,1177,Low
360050089001,New York city,2019,0,1522,Lowest
360050363002,New York city,2019,0,640,Lowest
360050418002,New York city,2019,31902,989,Medium
360050449012,New York city,2019,81500,659,High
360050025001,New York city,2019,33382,750,Lowest
360050225005,New York city,2019,38490,941,Lowest
360050189001,New York city,2019,26392,1000,Low
360050224012,New York city,2019,62143,1273,Medium
360050213023,New York city,2019,34467,753,Lowest
360050387001,New York city,2019,31875,1070,Low
360050411001,New York city,2019,64429,924,Low
360050428001,New York city,2019,51333,872,Low
360050059021,New York city,2019,44500,814,Lowest
360050061001,New York city,2019,0,1158,Lowest
360050423001,New York city,2019,25179,603,Lowest
360050419002,New York city,2019,86708,0,Low
360050301001,New York city,2019,13971,653,Medium
360050043001,New York city,2019,30508,1393,Low
360050133002,New York city,2019,30566,1824,Low
360050041002,New York city,2019,36289,1551,Low
360050297001,New York city,2019,88523,2002,Highest
360050250002,New York city,2019,86676,1106,Medium
360050215022,New York city,2019,19809,853,Low
360050199004,New York city,2019,39821,2177,Low
360050071001,New York city,2019,64444,882,Low
360050318002,New York city,2019,86250,1392,Medium
360050265002,New York city,2019,36116,1974,Low
360050425001,New York city,2019,21675,636,Lowest
360050074001,New York city,2019,0,858,Lowest
360050073003,New York city,2019,20915,888,Lowest
360050073001,New York city,2019,16649,1033,Lowest
360050072001,New York city,2019,50552,1387,Medium
360050070001,New York city,2019,56029,2794,Low
360050069001,New York city,2019,49603,3140,Highest
360050068001,New York city,2019,41607,1027,Medium
360050067004,New York city,2019,16023,1575,Lowest
360050067001,New York city,2019,18000,1286,Lowest
360050065001,New York city,2019,0,1165,Low
360050064001,New York city,2019,53312,1908,Low
360050060001,New York city,2019,34898,1154,Low
360050118002,New York city,2019,86250,885,High
360050123002,New York city,2019,47530,1148,Medium
360050123003,New York city,2019,36472,1742,Lowest
360810273004,New York city,2019,66290,2151,Lowest
360050338001,New York city,2019,55875,1432,Medium
360050330001,New York city,2019,22109,1869,Low
360050328001,New York city,2019,47083,804,Low
360810261003,New York city,2019,47986,1735,High
360810235002,New York city,2019,45042,3011,Medium
360810187002,New York city,2019,59485,1259,High
360810147001,New York city,2019,95341,1111,High
360810142021,New York city,2019,62313,1961,Medium
360810117002,New York city,2019,78333,841,High
360810112002,New York city,2019,78988,984,Low
360810097001,New York city,2019,88598,282,Medium
360810079001,New York city,2019,54191,2451,Highest
360810061003,New York city,2019,92292,1799,Highest
360810026001,New York city,2019,124688,973,High
360811617004,New York city,2019,115929,1522,Highest
360811617003,New York city,2019,134063,820,Low
360811617002,New York city,2019,176667,665,Low
360810004002,New York city,2019,63065,1700,Low
360811621005,New York city,2019,111528,1208,High
360811621001,New York city,2019,83750,1215,Medium
360050324001,New York city,2019,16949,1662,Medium
360050323001,New York city,2019,86648,1067,Medium
360050318001,New York city,2019,102679,743,Medium
360050316002,New York city,2019,99464,418,Low
360810277005,New York city,2019,37760,2254,Medium
360050314001,New York city,2019,94500,1625,High
360810279001,New York city,2019,92222,1247,High
360810271004,New York city,2019,59630,730,Medium
360850197001,New York city,2019,99803,928,Medium
360850187011,New York city,2019,106313,849,Medium
360850134002,New York city,2019,84886,1362,Medium
360850323001,New York city,2019,65089,1022,Low
360850319022,New York city,2019,101607,1718,High
360810629003,New York city,2019,79513,964,Low
360810585002,New York city,2019,88056,1099,Medium
360810577003,New York city,2019,61250,1448,Low
360050296001,New York city,2019,54563,1555,High
360050295002,New York city,2019,93836,1043,Highest
360050295001,New York city,2019,112543,1519,Highest
360810567003,New York city,2019,87292,1230,Low
360810557001,New York city,2019,67917,1801,Medium
360810538001,New York city,2019,76118,933,Low
360810524001,New York city,2019,104615,907,Low
360810505001,New York city,2019,72000,1690,High
360810497001,New York city,2019,84211,2064,High
360810496002,New York city,2019,93750,957,Low
360810496001,New York city,2019,103438,1254,Medium
360810482001,New York city,2019,70978,1439,Medium
360810459001,New York city,2019,87634,3175,Highest
360810450001,New York city,2019,98750,1004,Medium
360810401003,New York city,2019,61579,2316,Low
360810339002,New York city,2019,79375,913,Low
360810334012,New York city,2019,87000,3255,High
360810283002,New York city,2019,73666,1591,Highest
360050312001,New York city,2019,105972,548,Medium
360050307012,New York city,2019,119938,2111,Highest
360050300003,New York city,2019,67895,642,Medium
360811483003,New York city,2019,162350,669,Medium
360811483001,New York city,2019,110375,873,High
360811507013,New York city,2019,120682,461,Medium
360050273004,New York city,2019,0,1591,Medium
360050273002,New York city,2019,73535,1638,High
360050273001,New York city,2019,36932,1378,Low
360050266011,New York city,2019,47098,1423,Medium
360050269002,New York city,2019,48750,1311,Medium
360050165001,New York city,2019,26739,1508,Lowest
360050164001,New York city,2019,80000,1081,Medium
360050162001,New York city,2019,90655,820,Low
360050161002,New York city,2019,15149,821,Lowest
360050158001,New York city,2019,55700,1336,Low
360050161001,New York city,2019,39063,1906,Low
360050160002,New York city,2019,122212,985,Low
360050160001,New York city,2019,70500,1588,Medium
360050138002,New York city,2019,60417,855,Low
360050138001,New York city,2019,68444,2204,Medium
360050135003,New York city,2019,34583,792,Low
360050133001,New York city,2019,19055,1655,Lowest
360050132004,New York city,2019,134527,1340,Medium
360050132002,New York city,2019,130375,630,Highest
360050131003,New York city,2019,17472,1836,Low
360050131002,New York city,2019,37426,2025,Medium
360050127011,New York city,2019,21292,495,Lowest
360811507022,New York city,2019,113929,638,Low
360811529021,New York city,2019,59395,555,Low
360811579023,New York city,2019,123083,741,High
