census_block_group,amount_land,amount_water,latitude,longitude
360050175002,23694,0,40.8296335,-73.9152037
360470565002,45035,0,40.7314572,-73.9561617
360050043002,101983,0,40.8140948,-73.9179183
360050041001,47483,0,40.8102547,-73.9164655
360050040011,123145,0,40.8282719,-73.8583355
360050038001,63397,0,40.8202946,-73.8633435
360050035002,17641,0,40.8127752,-73.9099493
360050027021,53858,0,40.8063159,-73.9119507
360050033003,39307,0,40.8092877,-73.9146862
360050033002,34761,0,40.8084742,-73.9129376
360050033001,78317,0,40.8076138,-73.9101259
360050031001,154703,0,40.8098988,-73.9056901
360050028001,261929,0,40.8222655,-73.8788968
360050027023,46205,0,40.8068577,-73.9155773
360050027022,33780,0,40.8051914,-73.9134345
360050079001,51945,0,40.8178886,-73.9038355
360050075003,35972,0,40.8172195,-73.9086523
360050077001,112827,0,40.8197339,-73.9044231
360050027012,43299,0,40.804929,-73.9177383
360050025004,21737,0,40.8075219,-73.922187
360050025002,26458,0,40.8058868,-73.9192848
360050023002,19503,0,40.8092204,-73.924264
360050016001,77719,0,40.8206938,-73.8598969
360050004001,62874,0,40.8139792,-73.8573467
360050002002,222104,0,40.8116309,-73.8605956
360050002001,89013,0,40.8139633,-73.8608664
360050460001,239742,0,40.8828169,-73.8423205
360050043004,38089,0,40.8128799,-73.9168738
360050436001,73028,0,40.8980024,-73.8486825
360050044002,22213,0,40.8265865,-73.8689328
360050046001,135339,0,40.8224189,-73.8691776
360050083003,34868,0,40.8141115,-73.9019732
360050083002,27849,0,40.8150131,-73.9019618
360050083001,36194,0,40.816237,-73.9020255
360050121012,67511,0,40.8285069,-73.8897484
360050121011,48104,0,40.8279515,-73.8876953
360050119001,56548,0,40.8227586,-73.8910593
360050118003,196287,0,40.8168125,-73.8115486
360050119003,17103,0,40.8241384,-73.8900347
360050334001,3044514,62113,40.860046,-73.8742257
360050098004,64962,0,40.8237401,-73.8538632
360050098002,86177,0,40.8249226,-73.8478273
360050098001,107490,0,40.8248716,-73.8509712
360050092003,98016,0,40.832371,-73.8526392
360050092001,75350,0,40.8328136,-73.8564926
360050087005,20896,0,40.8215994,-73.896713
360050087002,39038,0,40.8201761,-73.8948621
360050087001,108388,0,40.8193389,-73.8986016
360050086001,63184,0,40.8219853,-73.8502987
360050085002,54322,0,40.8163851,-73.8994493
360050289001,54080,0,40.8783437,-73.9060847
360050288001,112029,0,40.8542975,-73.8513795
360050286002,63095,0,40.8478773,-73.8484209
360050287001,103355,0,40.883091,-73.9052386
360050052001,158791,0,40.8254145,-73.8826181
360050048001,65214,0,40.8281617,-73.8740228
360050044004,74147,0,40.825808,-73.8708021
360050084001,40655,0,40.8154677,-73.8503514
360050413001,46712,0,40.8742832,-73.8848751
360050423002,127523,0,40.8773356,-73.8772508
360050398001,100241,0,40.8822716,-73.8521655
360050396001,44691,0,40.8850255,-73.8569338
360050386005,62900,0,40.8811542,-73.8503519
360050385003,33983,0,40.8553363,-73.8915741
360050373001,53563,0,40.8504023,-73.8885575
360050369012,33519,0,40.8450605,-73.8925789
360050365013,33542,0,40.8439928,-73.8871172
360050359001,134331,0,40.8402093,-73.8833847
360050336002,34973,0,40.8660026,-73.8689142
360050330002,30536,0,40.8587372,-73.8656055
360050310001,154173,0,40.8582135,-73.8382723
360050297002,98432,0,40.8833573,-73.9117384
360050295003,40584,0,40.8841293,-73.9084774
360050390001,89036,0,40.8807992,-73.8592735
360050083004,41442,0,40.8132061,-73.9019531
360050089001,60574,0,40.8195703,-73.8928578
360050363002,13451,0,40.8446472,-73.8807313
360050418002,69962,0,40.8970439,-73.8575262
360050449012,91972,0,40.8967625,-73.8738264
360050025001,21713,0,40.8070151,-73.9190014
360050225005,13529,0,40.8402077,-73.9123482
360050189001,210090,0,40.8313282,-73.9314741
360050224012,49421,0,40.854198,-73.8682831
360050213023,25793,0,40.8426763,-73.9213065
360050387001,114149,0,40.859044,-73.88925
360050411001,45550,0,40.8772746,-73.8860964
360050428001,81768,0,40.8953253,-73.8455388
360050059021,22117,0,40.8259297,-73.9223611
360050061001,48812,0,40.8252179,-73.9202975
360050423001,17730,0,40.8794073,-73.8759701
360050419002,13158,0,40.8755583,-73.8809981
360050301001,99893,0,40.8834139,-73.9184464
360050043001,46629,0,40.814337,-73.9150351
360050133002,65508,0,40.8222876,-73.90219
360050041002,78284,0,40.8112719,-73.9191149
360050297001,83172,0,40.8871495,-73.9109984
360050250002,79190,0,40.8513843,-73.8577537
360050215022,21663,0,40.8473989,-73.9156779
360050199004,49773,0,40.8369262,-73.9274773
360050071001,53640,0,40.8210683,-73.9103741
360050318002,112129,0,40.8606489,-73.8516221
360050265002,31914,0,40.8657999,-73.9019716
360050425001,27288,0,40.8707351,-73.8785036
360050074001,62615,0,40.8173611,-73.8523629
360050073003,62435,0,40.8148505,-73.9109611
360050073001,51530,0,40.8144456,-73.9076597
360050072001,72062,0,40.8302598,-73.860572
360050070001,114927,0,40.8288659,-73.8656803
360050069001,76077,0,40.8212261,-73.9139053
360050068001,40245,0,40.8302416,-73.869289
360050067004,39180,0,40.8206218,-73.9188638
360050067001,51132,0,40.8187475,-73.9154905
360050065001,112953,0,40.817151,-73.9243768
360050064001,78379,0,40.8318241,-73.8716863
360050060001,315748,0,40.8377073,-73.8779705
360050118002,223332,0,40.8128581,-73.8087462
360050123002,48847,0,40.8307987,-73.8890242
360050123003,194708,0,40.8271232,-73.8856222
